state,state_capital,state_capital_latitude,state_capital_longitude,Source,Comment,state_capital_point,is_capital_state
Sangha-Mbaéré,Nola,3°32′N,16°04′E,"https://en.wikipedia.org/wiki/Nola,_Central_African_Republic",,"(3.533333333333333, 16.066666666666666)",0
Mambéré-Kadéï,Berbérati,4°15′41″N,15°47′22″E,https://en.wikipedia.org/wiki/Berb%C3%A9rati,,"(4.261388888888889, 15.789444444444444)",0
Lobaye,Mbaïki,3°52′15″N,17°59′06″E,https://en.wikipedia.org/wiki/Mba%C3%AFki,,"(3.8708333333333336, 17.985)",0
Ombella-M’Poko,Boali,4°48′N,18°7′E,https://en.wikipedia.org/wiki/Boali,,"(4.8, 18.116666666666667)",0
Ouham-Pendé,Bozoum,6°19′02″N,16°22′42″E,https://en.wikipedia.org/wiki/Bozoum,,"(6.317222222222222, 16.378333333333334)",0
Nana-Mambéré,Bouar,5°57′N,15°36′E,https://en.wikipedia.org/wiki/Bouar,,"(5.95, 15.6)",0
Ouham,Bossangoa,6°29′N,17°27′E,https://en.wikipedia.org/wiki/Bossangoa,,"(6.483333333333333, 17.45)",0
Ouaka,Bambari,05°45′55″N,20°40′27″E,https://en.wikipedia.org/wiki/Bambari,,"(5.7652777777777775, 20.674166666666668)",0
Kémo,Sibut,5°44′16″N,19°05′12″E,https://en.wikipedia.org/wiki/Sibut,,"(5.737777777777778, 19.086666666666666)",0
Basse-Kotto,Mobaye,4°19′N,21°11′E,https://en.wikipedia.org/wiki/Mobaye,,"(4.316666666666666, 21.183333333333334)",0
Mbomou,Bangassou,4.737425°N,22.819462°E,https://en.wikipedia.org/wiki/Bangassou,,"(4.737425, 22.819462)",0
Haute-Kotto,Bria,6°32′13″N,21°59′31″E,"https://en.wikipedia.org/wiki/Bria,_Central_African_Republic",,"(6.536944444444444, 21.991944444444446)",0
Haute-Mbomou,Obo,5°24′N,26°30′E,https://en.wikipedia.org/wiki/Obo,,"(5.4, 26.5)",0
Nana-Gribizi,Kaga-Bandoro,7°0′N,19°11′E,https://en.wikipedia.org/wiki/Kaga-Bandoro,,"(7.0, 19.183333333333334)",0
Bamingui-Bangoran,N’Délé,8°24′33″N,20°39′11″E,https://en.wikipedia.org/wiki/N%27D%C3%A9l%C3%A9,,"(8.409166666666668, 20.653055555555554)",0
Vakaga,Birao,10.294°N,22.782°E,https://en.wikipedia.org/wiki/Birao,,"(10.294, 22.782)",0
Bangui,Bangui,04°22′24″N,18°33′46″E,https://en.wikipedia.org/wiki/Bangui,,"(4.373333333333333, 18.56277777777778)",1
Mambéré,Carnot,4°56′N,15°52′E,"https://en.wikipedia.org/wiki/Carnot,_Central_African_Republic",Tprefecturehis state was not on your list,"(4.933333333333334, 15.866666666666667)",0
Lim-Pendé,Paoua,7°15′N,16°26′E,https://en.wikipedia.org/wiki/Paoua,This state was not on your list,"(7.25, 16.433333333333334)",0
Ouham-Fafa,Batangafo,7°18′N,18°18′E,https://en.wikipedia.org/wiki/Batangafo,This state was not on your list,"(7.3, 18.3)",0
