state,state_capital,state_capital_latitude,state_capital_longitude,Source,Comment,state_capital_point,is_capital_state
Kwango,Kenge,4°48′20″S,17°02′30″E,https://en.wikipedia.org/wiki/Provinces_of_the_Democratic_Republic_of_the_Congo,Word document includes one „NA“ and a „crosses boundary“,"(-4.805555555555555, 17.041666666666668)",0
Kongo-Central,Matadi,5°49′03″S,13°28′15″E,,,"(-5.8175, 13.470833333333333)",0
Kinshasa,Kinshasa,04°19′19″S,15°18′43″E,,,"(-4.321944444444444, 15.311944444444444)",1
Kasaï,Tshikapa,6°25′S,20°48′E,,,"(-6.416666666666667, 20.8)",0
Kwilu,Bandundu,3°19′S,17°22′E,,,"(-3.3166666666666664, 17.366666666666667)",0
Kasaï-Central,Kananga,5°53′32″S,22°24′10″E,,,"(-5.892222222222221, 22.402777777777775)",0
Lualaba,Kolwezi,10°43′S,25°28′E,,,"(-10.716666666666667, 25.466666666666665)",0
Haut-Lomami,Kamina,8°44′19″S,24°59′26″E,,,"(-8.73861111111111, 24.990555555555556)",0
Haut Katanga,Lubumbashi,11°39′51″S,27°28′58″E,,,"(-11.664166666666667, 27.482777777777777)",0
Lomami,Kabinda,6°07′48″S,24°28′48″E,,,"(-6.13, 24.479999999999997)",0
Kasaï-Oriental,Mbuji-Mayi,06°09′S,23°36′E,,,"(-6.15, 23.6)",0
Sankuru,Lusambo,4.972912°S,23.436756°E,,,"(-4.972912, 23.436756)",0
Maniema,Kindu,2°57′S,25°57′E,,,"(-2.95, 25.95)",0
Tanganyika,Kalemie,05°54′46″S,29°11′26″E,,,"(-5.912777777777778, 29.190555555555555)",0
South-Kivu,Bukavu,2°30′S,28°52′E,,,"(-2.5, 28.866666666666667)",0
Maï-Ndombe,Inongo,1°57′S,18°16′E,,,"(-1.95, 18.266666666666666)",0
Equateur,Mbandaka,0°02′52″N,18°15′21″E,,,"(0.04777777777777778, 18.25583333333333)",0
Tshuapa,Boende,0.281°S,20.876°E,,,"(-0.281, 20.876)",0
Sud-Ubangi,Gemena,3°15′N,19°46′E,,,"(3.25, 19.766666666666666)",0
Mongala,Lisala,2°8′55″N,21°30′49″E,,,"(2.1486111111111112, 21.51361111111111)",0
Nord-Ubangi,Gbadolite,4°17′N,21°01′E,,,"(4.283333333333333, 21.016666666666666)",0
Tshopo,Kisangani,0°31′0″N,25°12′0″E,,,"(0.5166666666666667, 25.2)",0
North-Kivu,Goma,01°40′46″S,29°14′01″E,,,"(-1.6794444444444443, 29.233611111111113)",0
Bas-Uele,Buta,2°48′N,24°44′E,,,"(2.8, 24.733333333333334)",0
Ituri,Bunia,1°34′N,30°15′E,,,"(1.5666666666666667, 30.25)",0
Haut-Uele,Isiro,2°46′N,27°37′E,,,"(2.7666666666666666, 27.616666666666667)",0
