state,state_capital,state_capital_latitude,state_capital_longitude,Source,Comment,state_capital_point,is_capital_state
Taita-Taveta,Mwatate,03°30′17″S,38°22′40″E,https://en.wikipedia.org/wiki/Mwatate,Sources provided because there is no reliable overview page,"(-3.504722222222222, 38.37777777777778)",0
Kajiado,Kajiado,01°51′S,36°47′E,https://en.wikipedia.org/wiki/Kajiado,,"(-1.85, 36.78333333333333)",0
Narok,Narok,01°05′S,35°52′E,https://en.wikipedia.org/wiki/Narok,,"(-1.0833333333333333, 35.86666666666667)",0
Migori,Migori,1°4′S,34°28′E,https://de.wikipedia.org/wiki/Migori,,"(-1.0666666666666667, 34.46666666666667)",0
Homa Bay,Homa Bay,0°31′S,34°27′E,https://en.wikipedia.org/wiki/Homa_Bay,,"(-0.5166666666666667, 34.45)",0
Siaya,Siaya,0°04′N,34°17′E,https://en.wikipedia.org/wiki/Siaya,,"(0.06666666666666667, 34.28333333333333)",0
Kisumu,Kisumu ,0°05′S,34°46′E,https://en.wikipedia.org/wiki/Kisumu,,"(-0.08333333333333333, 34.766666666666666)",0
Nyamira,Nyamira,0.521°S,34.914°E,https://en.wikipedia.org/wiki/Nyamira,,"(-0.521, 34.914)",0
Bomet,Bomet,0°47′S,35°21′E,https://en.wikipedia.org/wiki/Bomet,,"(-0.7833333333333333, 35.35)",0
Kericho,Kericho,00°22′09″S,35°17′02″E,https://en.wikipedia.org/wiki/Kericho,,"(-0.36916666666666664, 35.28388888888889)",0
Nakuru,Nakuru,0°18′S,36°4′E,https://en.wikipedia.org/wiki/Nakuru,,"(-0.3, 36.06666666666667)",0
Baringo,Kabarnet,0.494°N,35.744°E,https://en.wikipedia.org/wiki/Kabarnet,,"(0.494, 35.744)",0
Makueni,Wote,1°47′S,37°38′E,"https://en.wikipedia.org/wiki/Wote,_Kenya",,"(-1.7833333333333332, 37.63333333333333)",0
Machakos,Machakos,1°31′S,37°16′E,https://en.wikipedia.org/wiki/Machakos,,"(-1.5166666666666666, 37.266666666666666)",0
Nairobi,Nairobi,01°17′11″S,36°49′02″E,https://en.wikipedia.org/wiki/Nairobi,,"(-1.2863888888888888, 36.81722222222223)",1
Kiambu,Kiambu,1°10′S,36°49′E,https://en.wikipedia.org/wiki/Kiambu,,"(-1.1666666666666667, 36.81666666666667)",0
Murang’a,Murang’a,00°43′S,37°09′E,https://en.wikipedia.org/wiki/Murang%27a,,"(-0.7166666666666667, 37.15)",0
Nyandarua,Ol Kalou,0.273°S,36.378°E,https://en.wikipedia.org/wiki/Ol_Kalou,,"(-0.273, 36.378)",0
Nyeri,Nyeri,0°25′S,36°57′E,https://en.wikipedia.org/wiki/Nyeri,,"(-0.4166666666666667, 36.95)",0
Laikipia,Rumuruti,0.25996°N,36.53633°E,https://en.wikipedia.org/wiki/Rumuruti,,"(-0.273, 36.378)",0
Embu,Embu,0°32′20″S,37°27′30″E,"https://en.wikipedia.org/wiki/Embu,_Kenya",,"(-0.5388888888888889, 37.458333333333336)",0
