state,state_capital,state_capital_latitude,state_capital_longitude,Source,Comment,state_capital_point,is_capital_state
Ondo,Akure,7°15′0″N,5°11′42″E,https://en.wikipedia.org/wiki/States_of_Nigeria,Word document includes one „NA“ and a „crosses boundary“,"(7.25, 5.195)",0
Lagos,Ikeja,6.60°N,3.35°E,,,"(6.60, 3.35)",0
Edo,Benin City,6°20′00″N,5°37′20″E,,,"(6.333333333333333, 5.622222222222223)",0
Ogun,Abeokuta,7°9′39″N,3°20′54″E,,,"(7.160833333333334, 3.3483333333333336)",0
Bayelsa,Yenagoa,5°02′N,6°20′E,,,"(5.033333333333333, 6.333333333333333)",0
Rivers,Port Harcourt,4°49′27″N,7°2′1″E,,,"(4.824166666666667, 7.033611111111111)",0
Delta,Asaba,6°11′N,6°44′E,,,"(6.183333333333334, 6.733333333333333)",0
Imo,Owerri,5.485°N,7.035°E,,,"(5.485, 7.035)",0
Akwa Ibom,Uyo,5°02′00″N,7°55′39″E,,,"(5.033333333333333, 7.9275)",0
Abia,Umuahia,5°32′N,7°29′E,,,"(5.533333333333333, 7.483333333333333)",0
Cross River,Calabar,04°58′36″N,08°20′18″E,,,"(4.976666666666667, 8.338333333333335)",0
Anambra,Awka,6°12′25″N,7°04′04″E,,,"(6.206944444444445, 7.067777777777778)",0
Ebonyi,Abakaliki,6°20′N,8°06′E,,,"(6.333333333333333, 8.1)",0
Enugu,Enugu,6°27′10″N,7°30′40″E,,,"(6.452777777777778, 7.511111111111111)",0
Oyo,Ibadan,7°23′47″N,3°55′0″E,,,"(7.39638888888889, 3.9166666666666665)",0
Osun,Osogbo,7°46′N,4°34′E,,,"(7.766666666666667, 4.566666666666666)",0
Ekiti,Ado Ekiti,7°37′16″N,5°13′17″E,,,"(7.621111111111111, 5.221388888888889)",0
Kwara,Illorin,8°30′N,4°33′E,,,"(8.5, 4.55)",0
Kogi,Lokoja,07°48′07″N,06°44′39″E,,,"(7.801944444444445, 6.744166666666667)",0
Benue,Makurdi,7°44′N,8°30′E,,,"(7.733333333333333, 8.5)",0
Nasarawa,Lafia,8°29′30″N,8°31′0″E,,,"(8.491666666666665, 8.516666666666667)",0
Niger,Minna,9°36′50″N,6°33′25″E,,,"(9.613888888888889, 6.5569444444444445)",0
Federal Capital Territory,Abuja,9°4′N,7°29′E,,,"(9.066666666666666, 7.483333333333333)",1
Taraba,Jalingo,8°54′N,11°22′E,,,"(8.9, 11.366666666666667)",0
Plateau,Jos,09°55′00″N,08°53′25″E,,,"(9.916666666666666, 8.890277777777778)",0
Adamawa,Yola,9°13′48″N,12°27′36″E,,,"(9.23, 12.459999999999999)",0
Kebbi,Birnin Kebbi,12°27′13″N,4°12′01″E,,,"(12.45361111111111, 4.200277777777778)",0
Kaduna,Kaduna,10°31′23″N,7°26′25″E,,,"(10.523055555555556, 7.440277777777778)",0
Zamfara,Gusau,12°09′N,6°40′E,,,"(12.15, 6.666666666666667)",0
Katsina,Katsina,12°59′20″N,07°36′03″E,,,"(12.988888888888889, 7.600833333333333)",0
Kano,Kano,12°00′N,8°31′E,,,"(12.0, 8.516666666666667)",0
Sokoto,Sokoto,13°03′44″N,5°14′02″E,,,"(13.062222222222223, 5.233888888888889)",0
Jigawa,Dutse,11°42′04″N,9°20′31″E,,,"(11.70111111111111, 9.341944444444445)",0
Bauchi,Bauchi,10°18′57″N,9°50′39″E,,,"(10.315833333333334, 9.844166666666668)",0
Gombe,Gombe,10°17′N,11°10′E,,,"(10.283333333333333, 11.166666666666666)",0
Borno,Maiduguri,11°50′14″N,13°09′15″E,,,"(11.837222222222223, 13.154166666666667)",0
Yobe,Damaturu,11°44′40″N,11°57′40″E,,,"(11.744444444444444, 11.96111111111111)",0
