state,state_capital,state_capital_latitude,state_capital_longitude,Source,Comment,state_capital_point,is_capital_state
Banadir,Mogadishu,02°02′21″N,45°20′31″E,https://en.wikipedia.org/wiki/Mogadishu,,"(2.0391666666666666, 45.341944444444444)",1
Galguduud,Dusmareb,5°32′06″N,46°23′10″E,https://en.wikipedia.org/wiki/Dusmareb,,"(5.535, 46.38611111111111)",0
Lower Juba,Kismayo,00°21′29″S,042°32′43″E,https://en.wikipedia.org/wiki/Kismayo,Also called Jubbada Hoose,"(-0.3580555555555555, 42.54527777777778)",0
Middle Juba,Bu’ale,1°5′0″N,42°35′0″E,https://en.wikipedia.org/wiki/Bu%27ale,Also called Jubada Dhexe,"(1.0833333333333333, 42.583333333333336)",0
Lower Shabelle,Merca,01°42′48″N,044°45′56″E,https://en.wikipedia.org/wiki/Merca,Also called Shabeellaha Hoose,"(1.7133333333333334, 44.76555555555556)",0
Gedo,Garbahare,3°21′N,42°16′E,https://en.wikipedia.org/wiki/Garbahare,,"(3.35, 42.266666666666666)",0
Bay,Baidoa,3°07′00″N,43°39′00″E,https://en.wikipedia.org/wiki/Baidoa,,"(3.1166666666666667, 43.65)",0
Middle Shabelle,Jowhar,2°47′N,45°30′E,https://en.wikipedia.org/wiki/Jowhar,Also called Shabeellaha Dhexe,"(2.783333333333333, 45.5)",0
Hiraan,Beledweyne,04°44′09″N,045°12′13″E,https://en.wikipedia.org/wiki/Beledweyne,,"(4.735833333333334, 45.203611111111115)",0
Bakool,Hudur,4°7′12″N,43°53′16″E,https://en.wikipedia.org/wiki/Hudur,,"(4.119999999999999, 43.88777777777778)",0
Mudug,Galkayo,06°46′11″N,047°25′51″E,https://en.wikipedia.org/wiki/Galkayo,,"(6.769722222222222, 47.43083333333333)",0
Togdheer,Burao,09°31′40.4″N,45°32′04.2″E,https://en.wikipedia.org/wiki/Burao,Located in Somaliland,"(9.52788888888889, 45.5345)",0
Sool,Las Anod,8.476°N,47.357°E,https://en.wikipedia.org/wiki/Las_Anod,Located in Somaliland,"(8.476, 47.357)",0
Nugaal,Garoowe,8°24′N,48°28′E,https://en.wikipedia.org/wiki/Garoowe,,"(8.4, 48.46666666666667)",0
Bari,Bosaso,11°17′19″N,49°10′55″E,https://en.wikipedia.org/wiki/Bosaso,,"(11.288611111111111, 49.18194444444444)",0
Sanaag,Erigavo,10°37′05″N,047°22′12″E,https://en.wikipedia.org/wiki/Erigavo,Located in Somaliland,"(10.618055555555555, 47.37)",0
Waqooyi Galbeed ,Hargeisa,9°33′47″N,44°4′3″E,https://en.wikipedia.org/wiki/Hargeisa,Located in Somaliland,"(9.563055555555556, 44.0675)",0
Awdal,Borama,9°56′9″N,43°11′3″E,https://en.wikipedia.org/wiki/Borama,Located in Somaliland,"(9.935833333333333, 43.18416666666666)",0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
