state,state_capital,state_capital_latitude,state_capital_longitude,Source,Comment,state_capital_point,is_capital_state
Western Equatoria,Yambio,04°33′54″N,28°22′30″E,https://en.wikipedia.org/wiki/States_of_South_Sudan,,"(4.5649999999999995, 28.375)",0
Warrap,Kuajok,8°18′36″N,27°59′24″E,,,"(8.31, 27.990000000000002)",0
Western Bahr el Ghazal,Wau,07°42′00″N,28°00′00″E,,,"(7.7, 28.0)",0
Lakes,Rumbek,6.806°N,29.676°E,,,"(6.806, 29.676)",0
Central Equatoria,Juba,4°51′N,31°36′E,,,"(4.85, 31.6)",1
Eastern Equatoria,Torit,04°24′29″N,32°34′30″E,,,"(4.408055555555556, 32.575)",0
Jonglei,Bor,6°12′45″N,31°33′39″E,,,"(6.2125, 31.560833333333335)",0
Unity,Bentiu,9°15′36″N,29°48′00″E,,,"(9.26, 29.8)",0
Northern Bahr el Ghazal,Aweil,08°46′02″N,27°23′59″E,,,"(8.767222222222223, 27.399722222222223)",0
Upper Nile,Malakal,09°33′00″N,31°39′00″E,,,"(9.55, 31.65)",0
Abyei Area,Abyei,09°35′44″N,28°26′13″E,https://en.wikipedia.org/wiki/Abyei,"Under the terms of the Abyei Protocol, the Abyei Area is considered, on an interim basis, to be simultaneously part of both the Republic of South Sudan and Republic of Sudan, effectively a condominium. ","(9.595555555555556, 28.436944444444446)",0
Greater Pibor Administrative Area,Pibor,06°48′00″N,33°08′00″E,,Was not in your list,"(6.8, 33.13333333333333)",0
Ruweng Administrative Area,Panrieng,9°55′N,29°59′E,,Was not in your list,"(9.916666666666666, 29.983333333333334)",0
