state,state_capital,state_capital_latitude,state_capital_longitude,Source,Comment,state_capital_point,is_capital_state
Logone Oriental,Doba,8°39′36″N,16°51′0″E,https://en.wikipedia.org/wiki/Regions_of_Chad,,"(8.66, 16.85)",0
Logone Occidental,Moundou,8°34′N,16°05′E,,,"(8.566666666666666, 16.083333333333332)",0
Mayo-Kebbi Ouest,Pala,09°21′45″N,014°54′38″E,,,"(9.362499999999999, 14.910555555555556)",0
Tandjile,Laï,9°24′0″N,16°18′0″E,,,"(9.4, 16.3)",0
Mayo-Kebbi Est,Bongor,10°16′50″N,15°22′20″E,,,"(10.280555555555557, 15.372222222222224)",0
Mandoul,Koumra,8°54′36″N,17°33′0″E,,,"(8.91, 17.55)",0
Moyen-Chari,Sarh,09°09′N,18°23′E,,,"(9.15, 18.383333333333333)",0
Chari-Baguirmi,Massenya,11°24′N,16°10′E,,,"(11.4, 16.166666666666668)",0
Guéra,Mongo,12°10′58″N,18°41′05″E,,,"(12.182777777777778, 18.684722222222224)",0
Salamat,Am Timan,11°2′N,20°17′E,,,"(11.033333333333333, 20.283333333333335)",0
Sila,Goz Beïda,12°13′25″N,21°24′52″E,,,"(12.223611111111111, 21.41444444444444)",0
Hadjer-Lamis,Massakory,13°00′N,15°44′E,,,"(13.0, 15.733333333333333)",0
Lac,Bol,13°27′36″N,14°44′24″E,,,"(13.459999999999999, 14.739999999999998)",0
Batha,Ati,13°12′48″N,18°20′17″E,,,"(13.213333333333333, 18.338055555555556)",0
Ouaddaï,Abéché,13°49′59″N,20°50′05″E,,,"(13.833055555555555, 20.834722222222222)",0
Kanem,Mao,14°07′10″N,015°18′48″E,,,"(14.119444444444445, 15.313333333333334)",0
Bahr el Gazel,Moussoro,13°38′35″N,16°29′31″E,,,"(13.643055555555556, 16.491944444444446)",0
Wadi Fira,Biltine,14°31′39″N,20°55′36″E,,,"(14.527500000000002, 20.92666666666667)",0
Ennedi Ouest,Fada,17°11′N,21°35′E,,,"(17.183333333333334, 21.583333333333332)",0
Ennedi Est,Amdjarass,16°3′57″N,22°50′35″E,,,"(16.065833333333334, 22.843055555555555)",0
Borkou,Faya-Largeau,17°55′01″N,19°7′0″E,,,"(17.916944444444447, 19.116666666666667)",0
Tibesti,Bardaï,21°21′12″N,17°0′1″E,,,"(21.353333333333335, 17.00027777777778)",0
N'Djamena,N'Djamena,12°06′36″N,15°03′00″E,,,"(12.11, 15.05)",1
