state,state_capital,state_capital_latitude,state_capital_longitude,Source,Comment,state_capital_point,is_capital_state
Ruvuma,Songea,10°41′S,35°39′E,https://en.wikipedia.org/wiki/Regions_of_Tanzania,Word document includes one „NA“ and a „crosses boundary“,"(-10.683333333333334, 35.65)",0
Songwe,Vwawa,9°07′00″S,32°56′00″E,,,"(-9.116666666666667, 32.93333333333333)",0
Mbeya,Mbeya,08°54′00″S,33°27′00″E,,,"(-8.9, 33.45)",0
Njombe,Njombe,09°20′S,34°46′E,,,"(-9.333333333333334, 34.766666666666666)",0
Rukwa,Sumbawanga,7°58′S,31°37′E,,,"(-7.966666666666667, 31.616666666666667)",0
Katavi,Mpanda,6°21′S,31°04′E,,,"(-6.35, 31.066666666666666)",0
Kigoma,Kigoma,4°53′S,29°38′E,,,"(-4.883333333333333, 29.633333333333333)",0
Mtwara,Mtwara,10°16′25″S,40°10′58″E,,,"(-10.273611111111112, 40.18277777777777)",0
Lindi,Lindi,9°59′49″S,39°42′52″E,,,"(-9.996944444444443, 39.714444444444446)",0
Iringa,Iringa,7°46′S,35°42′E,,,"(-7.766666666666667, 35.7)",0
Morogoro,Morogoro,06°49′27″S,37°39′48″E,,,"(-6.824166666666667, 37.663333333333334)",0
Dodoma,Dodoma,6°10′23″S,35°44′31″E,,,"(-6.173055555555556, 35.74194444444444)",1
Pwani,Kibaha,6°46′S,38°55′E,,,"(-6.766666666666667, 38.916666666666664)",0
Dar es Salaam,Dar es Salaam,06°48′58″S,39°16′49″E,,,"(-6.816111111111111, 39.280277777777776)",0
Kusini Unguja (also Unguja South Region),Koani,6°8′S,39°17′E,,,"(-6.133333333333334, 39.28333333333333)",0
Tabora,Tabora,5°1′S,32°48′E,,,"(-5.016666666666667, 32.8)",0
Shinyanga,Shinyanga,03°39′43″S,33°25′23″E,,,"(-3.6619444444444444, 33.42305555555555)",0
Singida,Singida,04°49′S,34°45′E,,,"(-4.816666666666666, 34.75)",0
Kagera,Bukoba,1°20′S,31°49′E,,,"(-1.3333333333333333, 31.816666666666666)",0
Geita,Geita,2.87273°S,32.23271°E,,,"(-2.87273, 32.23271)",0
Mwanza,Mwanza,2°31′S,32°54′E,,,"(-2.5166666666666666, 32.9)",0
Simiyu,Bariadi,02°47′31″S,33°59′22″E,,,"(-2.7919444444444443, 33.989444444444445)",0
Mara,Musoma,01°30′00″S,33°48′00″E,,,"(-1.5, 33.8)",0
Manyara,Babati,4°13′S,35°45′E,,,"(-4.216666666666667, 35.75)",0
Tanga,Tanga,5°04′27″S,39°05′57″E,,,"(-5.074166666666667, 39.09916666666667)",0
Kilimanjaro,Moshi,3°20′05.58″S,37°20′25.37″E,,,"(-3.3348833333333334, 37.340380555555555)",0
Kaskazini Unguja (also Unguja Kaskazini),Mkokotoni,5°52′48″S,39°16′23″E,,,"(-5.880000000000001, 39.27305555555555)",0
Pemba North (also Kaskazini Pemba),Wete,5°03′24″S,39°43′41″E,,,"(-5.056666666666667, 39.72805555555556)",0
Pemba South (also Kusini Pemba),Chake-Chake,5°14′45″S,39°46′0″E,,,"(-5.245833333333334, 39.766666666666666)",0
Arusha,Arusha,03°22′S,36°41′E,,,"(-3.3666666666666667, 36.68333333333333)",0
Mjini Magharibi,Zanzibar City,6.165°S,39.199°E,,,"(-6.165, 39.199)",0
